day,hour,startup_event_hydro_p1,shutdown_event_hydro_p1,ramp_up_mw_hydro_p1,ramp_down_mw_hydro_p1,startup_cost_$_hydro_p1,shutdown_cost_$_hydro_p1,ramp_up_cost_$_hydro_p1,ramp_down_cost_$_hydro_p1,O&M_hydro_p1,startup_event_hydro_p2,shutdown_event_hydro_p2,ramp_up_mw_hydro_p2,ramp_down_mw_hydro_p2,startup_cost_$_hydro_p2,shutdown_cost_$_hydro_p2,ramp_up_cost_$_hydro_p2,ramp_down_cost_$_hydro_p2,O&M_hydro_p2,startup_event_hydro_p3,shutdown_event_hydro_p3,ramp_up_mw_hydro_p3,ramp_down_mw_hydro_p3,startup_cost_$_hydro_p3,shutdown_cost_$_hydro_p3,ramp_up_cost_$_hydro_p3,ramp_down_cost_$_hydro_p3,O&M_hydro_p3,startup_event_hydro_p4,shutdown_event_hydro_p4,ramp_up_mw_hydro_p4,ramp_down_mw_hydro_p4,startup_cost_$_hydro_p4,shutdown_cost_$_hydro_p4,ramp_up_cost_$_hydro_p4,ramp_down_cost_$_hydro_p4,O&M_hydro_p4,startup_event_hydro_p5,shutdown_event_hydro_p5,ramp_up_mw_hydro_p5,ramp_down_mw_hydro_p5,startup_cost_$_hydro_p5,shutdown_cost_$_hydro_p5,ramp_up_cost_$_hydro_p5,ramp_down_cost_$_hydro_p5,O&M_hydro_p5,startup_event_hydro_p6,shutdown_event_hydro_p6,ramp_up_mw_hydro_p6,ramp_down_mw_hydro_p6,startup_cost_$_hydro_p6,shutdown_cost_$_hydro_p6,ramp_up_cost_$_hydro_p6,ramp_down_cost_$_hydro_p6,O&M_hydro_p6,startup_event_hydro_t1,shutdown_event_hydro_t1,ramp_up_mw_hydro_t1,ramp_down_mw_hydro_t1,startup_cost_$_hydro_t1,shutdown_cost_$_hydro_t1,ramp_up_cost_$_hydro_t1,ramp_down_cost_$_hydro_t1,O&M_hydro_t1,startup_event_hydro_t2,shutdown_event_hydro_t2,ramp_up_mw_hydro_t2,ramp_down_mw_hydro_t2,startup_cost_$_hydro_t2,shutdown_cost_$_hydro_t2,ramp_up_cost_$_hydro_t2,ramp_down_cost_$_hydro_t2,O&M_hydro_t2,startup_event_hydro_t3,shutdown_event_hydro_t3,ramp_up_mw_hydro_t3,ramp_down_mw_hydro_t3,startup_cost_$_hydro_t3,shutdown_cost_$_hydro_t3,ramp_up_cost_$_hydro_t3,ramp_down_cost_$_hydro_t3,O&M_hydro_t3,startup_event_hydro_t4,shutdown_event_hydro_t4,ramp_up_mw_hydro_t4,ramp_down_mw_hydro_t4,startup_cost_$_hydro_t4,shutdown_cost_$_hydro_t4,ramp_up_cost_$_hydro_t4,ramp_down_cost_$_hydro_t4,O&M_hydro_t4,startup_event_hydro_t5,shutdown_event_hydro_t5,ramp_up_mw_hydro_t5,ramp_down_mw_hydro_t5,startup_cost_$_hydro_t5,shutdown_cost_$_hydro_t5,ramp_up_cost_$_hydro_t5,ramp_down_cost_$_hydro_t5,O&M_hydro_t5,startup_event_hydro_t6,shutdown_event_hydro_t6,ramp_up_mw_hydro_t6,ramp_down_mw_hydro_t6,startup_cost_$_hydro_t6,shutdown_cost_$_hydro_t6,ramp_up_cost_$_hydro_t6,ramp_down_cost_$_hydro_t6,O&M_hydro_t6,O&M_Total
1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,1,0,46.999953,0.0,20.0,0.0,46.999953,0.0,66.999953,1,0,47.0000792442,0.0,15.0,0.0,47.0000792442,0.0,62.0000792442,1,0,47.0002054884,0.0,20.0,0.0,47.0002054884,0.0,67.0002054884,1,0,46.8138026275,0.0,20.0,0.0,35.1103519706,0.0,55.1103519706,1,0,45.0,0.0,20.0,0.0,33.75,0.0,53.75,1,0,45.0,0.0,20.0,0.0,33.75,0.0,53.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.6105897032
1,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.1865291051,0.0,0.0,0.0,0.1398968288,0.0,0.1398968288,0,0,2.0004579767,0.0,0.0,0.0,1.5003434826,0.0,1.5003434826,0,0,2.0005842209,0.0,0.0,0.0,1.5004381657,0.0,1.5004381657,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.140678477
1,7,0,1,0.0,46.999953,0.0,15.0,0.0,46.999953,61.999953,0,1,0.0,47.0000792442,0.0,10.0,0.0,47.0000792442,57.0000792442,0,1,0.0,47.0002054884,0.0,15.0,0.0,47.0002054884,62.0002054884,0,1,0.0,47.0003317326,0.0,10.0,0.0,35.2502487994,45.2502487994,0,1,0.0,47.0004579767,0.0,10.0,0.0,35.2503434826,45.2503434826,0,1,0.0,47.0005842209,0.0,10.0,0.0,35.2504381657,45.2504381657,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7512681802
1,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
